Id,SalePrice
1461,122674.70040122612
1462,173645.87788679634
1463,192898.78538499097
1464,204080.0979045888
1465,229008.90891467698
1466,182995.89629032137
1467,182448.5558418932
1468,169195.2266180482
1469,225468.5975179128
1470,126282.63259014921
1471,143793.15670213487
1472,105537.7742861709
1473,102932.99632942391
1474,137632.9560913404
1475,101325.97627639904
1476,389069.7863905558
1477,280461.79560491274
1478,360049.2728971804
1479,364039.8090844632
1480,472232.9132755626
1481,328924.11279751884
1482,223929.51336571842
1483,197571.364453653
1484,173489.9872548812
1485,214290.6627435477
1486,202718.86353732477
1487,365630.5320732093
1488,232819.54298790905
1489,216434.51717555296
1490,258802.75915809622
1491,216843.6836623742
1492,110554.274276943
1493,231920.88023062778
1494,314668.4149596572
1495,305341.9311938923
1496,245918.14959425374
1497,166071.9936110807
1498,190569.51542272232
1499,167422.30681883803
1500,153384.0389130627
1501,176669.5193524886
1502,143241.15846411264
1503,277270.2298444612
1504,248978.97641229857
1505,232550.4778677115
1506,201467.5936613552
1507,253533.87921903102
1508,224914.16998818872
1509,173297.71454246237
1510,157298.78095671587
1511,167244.9454762549
1512,147675.9654255973
1513,164017.72191633203
1514,172739.02425077854
1515,204158.11193368572
1516,183116.2298558903
1517,174909.6169729471
1518,129798.56167557536
1519,210245.05216284882
1520,134269.94997627442
1521,143908.33609269027
1522,197082.85504445253
1523,115340.10315227689
1524,119672.79387808937
1525,132324.70522175686
1526,114403.46182724598
1527,114170.51705261291
1528,122788.10010481489
1529,178105.57967072338
1530,192293.7793373476
1531,146924.1560102979
1532,94108.84100840273
1533,135637.87572082184
1534,128614.42841723215
1535,146058.53436349405
1536,102088.54414748098
1537,91352.68409782078
1538,157594.77701279675
1539,217569.99226537306
1540,132140.56337849033
1541,169124.22199072997
1542,179920.09517698418
1543,183461.21161669306
1544,79702.14101628662
1545,116701.62078050448
1546,171389.8575698644
1547,159375.1777912509
1548,165762.5655911414
1549,134808.01991569332
1550,161691.63283962614
1551,107744.90113231514
1552,174179.77961329746
1553,160340.202466248
1554,113550.57956698825
1555,186914.62174434384
1556,96339.63077677527
1557,132241.98569709001
1558,121221.47170300595
1559,105899.16449248284
1560,136670.61021724666
1561,80758.73858369421
1562,151998.56804283222
1563,140679.1598360782
1564,143685.31461631518
1565,175986.628154044
1566,256126.72059746704
1567,100295.78491804408
1568,254386.27745925286
1569,165188.7974923878
1570,142405.6451073847
1571,83939.4333958922
1572,125920.06689048474
1573,318914.6939193531
1574,164583.43777214034
1575,255073.77710219735
1576,227186.79810367472
1577,211015.54495736962
1578,165196.72965454654
1579,153292.5350023212
1580,215283.24139485473
1581,176422.00381063978
1582,152016.27905025159
1583,288457.90030728164
1584,229153.07283407683
1585,138430.52399387013
1586,82240.72949484392
1587,135830.3124912367
1588,167643.01602749183
1589,108833.28916707454
1590,128279.76611726088
1591,98462.36580505528
1592,125659.21680881153
1593,157371.8275585287
1594,155520.64970236633
1595,143407.92095192184
1596,243025.84836595855
1597,233986.43853628007
1598,245288.68288794975
1599,191107.95871872886
1600,186476.58581144578
1601,75524.43060959538
1602,137637.46331932
1603,117102.82221027263
1604,293727.6354602364
1605,247880.04988600983
1606,156874.242634162
1607,167909.44060163794
1608,230654.3186405574
1609,191678.63111403678
1610,155082.83812476095
1611,161879.31331755943
1612,207807.12755311496
1613,176564.25486696762
1614,136705.34985878505
1615,92277.2567030866
1616,78525.52858738415
1617,86556.77986691549
1618,151773.9642596013
1619,146514.98988467135
1620,179937.17735623458
1621,153097.3649445116
1622,161025.08233355836
1623,265961.3352096133
1624,209833.26844753808
